Ticker,Recommendation,Expected Move,Price,Earnings Time,Avg Volume,IV30/RV30,Term Slope,Historical Vol,Term Structure Slope
OXY,Recommended,4.99%,$48.06,Unknown,PASS,PASS,PASS,25.38%,-0.0134
MDT,Recommended,3.26%,$92.81,Unknown,PASS,PASS,PASS,20.71%,-0.0110
CSGP,Recommended,8.68%,$74.06,Unknown,PASS,PASS,PASS,29.80%,-0.0151
GPC,Recommended,6.65%,$124.90,Unknown,PASS,PASS,PASS,24.42%,-0.0095
SMMT,Recommended,14.62%,$21.37,Unknown,PASS,PASS,PASS,78.60%,-0.0276
FLR,Recommended,11.18%,$43.40,Unknown,PASS,PASS,PASS,49.81%,-0.0176
CE,Recommended,10.76%,$68.06,Unknown,PASS,PASS,PASS,40.26%,-0.0161
MGY,Recommended,7.45%,$23.50,Unknown,PASS,PASS,PASS,28.34%,-0.0091
GNW,Recommended,6.17%,$7.29,Unknown,PASS,PASS,PASS,25.07%,-0.0048
SSRM,Recommended,7.11%,$9.14,Unknown,PASS,PASS,PASS,50.96%,-0.0055
SBLK,Recommended,5.59%,$16.10,Unknown,PASS,PASS,PASS,33.66%,-0.0048
MODG,Recommended,12.04%,$7.27,Unknown,PASS,PASS,PASS,63.47%,-0.0120
BKD,Recommended,13.65%,$5.31,Unknown,PASS,PASS,PASS,45.35%,-0.0208
BMBL,Recommended,15.37%,$8.46,Unknown,PASS,PASS,PASS,59.46%,-0.0448
BIDU,Consider,7.9%,$97.48,Unknown,PASS,FAIL,PASS,49.57%,-0.0231
EQT,Consider,5.21%,$53.43,Unknown,PASS,FAIL,PASS,38.70%,-0.0144
DVN,Consider,5.57%,$34.64,Unknown,PASS,FAIL,PASS,33.48%,-0.0156
IFF,Consider,7.27%,$85.58,Unknown,FAIL,PASS,PASS,21.40%,-0.0105
RBA,Consider,6.39%,$96.30,Unknown,FAIL,PASS,PASS,21.01%,-0.0103
EXPD,Consider,3.76%,$113.65,Unknown,FAIL,PASS,PASS,22.80%,-0.0086
JHX,Consider,13.39%,$32.49,Unknown,FAIL,PASS,PASS,39.79%,-0.0093
ALLE,Consider,4.07%,$133.39,Unknown,FAIL,PASS,PASS,22.27%,-0.0060
FOUR,Consider,10.8%,$121.28,Unknown,FAIL,PASS,PASS,44.91%,-0.0180
PEN,Consider,10.87%,$268.67,Unknown,FAIL,PASS,PASS,43.47%,-0.0190
TOL,Consider,6.59%,$123.63,Unknown,PASS,FAIL,PASS,35.97%,-0.0176
FLS,Consider,6.1%,$62.29,Unknown,FAIL,PASS,PASS,27.71%,-0.0087
XP,Consider,7.29%,$14.74,Unknown,PASS,FAIL,PASS,43.69%,-0.0212
TX,Consider,5.85%,$30.32,Unknown,FAIL,PASS,PASS,31.61%,-0.0060
ESGR,Consider,1.59%,$330.93,Unknown,FAIL,PASS,PASS,4.48%,-0.0045
CRK,Consider,8.08%,$18.56,Unknown,PASS,FAIL,PASS,57.40%,-0.0066
SON,Consider,4.82%,$47.76,Unknown,FAIL,PASS,PASS,24.18%,-0.0126
BLKB,Consider,5.76%,$79.88,Unknown,FAIL,PASS,PASS,25.38%,-0.0131
LBTYA,Consider,7.93%,$11.03,Unknown,PASS,FAIL,PASS,28.31%,-0.0303
COMP,Consider,10.72%,$7.93,Unknown,PASS,FAIL,PASS,70.49%,-0.0155
SPR,Consider,5.87%,$34.51,Unknown,FAIL,PASS,PASS,21.94%,-0.0056
TPH,Consider,5.8%,$36.22,Unknown,FAIL,PASS,PASS,34.97%,-0.0044
RNW,Consider,10.34%,$6.53,Unknown,FAIL,PASS,PASS,32.62%,-0.0101
NGD,Consider,8.59%,$2.91,Unknown,PASS,FAIL,PASS,51.12%,-0.0092
VC,Consider,7.39%,$83.21,Unknown,FAIL,PASS,PASS,36.84%,-0.0093
SPNT,Consider,13.75%,$14.18,Unknown,FAIL,PASS,PASS,31.14%,-0.0164
CC,Consider,11.14%,$16.83,Unknown,PASS,FAIL,PASS,44.40%,-0.0279
IQ,Consider,13.98%,$2.54,Unknown,PASS,FAIL,PASS,78.08%,-0.0410
WGS,Consider,25.15%,$76.35,Unknown,FAIL,PASS,PASS,108.86%,-0.0403
MBC,Consider,7.55%,$16.88,Unknown,FAIL,PASS,PASS,37.13%,-0.0050
HLMN,Consider,7.72%,$10.36,Unknown,FAIL,PASS,PASS,39.94%,-0.0087
DFIN,Consider,6.42%,$65.85,Unknown,FAIL,PASS,PASS,28.02%,-0.0109
PRDO,Consider,6.5%,$28.46,Unknown,FAIL,PASS,PASS,27.32%,-0.0243
CVI,Consider,8.49%,$18.56,Unknown,FAIL,PASS,PASS,41.29%,-0.0076
NPWR,Consider,11.63%,$7.74,Unknown,FAIL,PASS,PASS,72.63%,-0.0071
SPNS,Consider,12.6%,$26.39,Unknown,FAIL,PASS,PASS,32.52%,-0.0118
WTTR,Consider,8.37%,$13.14,Unknown,FAIL,PASS,PASS,39.40%,-0.0091
ANDE,Consider,7.15%,$40.55,Unknown,FAIL,PASS,PASS,30.93%,-0.0073
ADEA,Consider,43.3%,$13.28,Unknown,FAIL,PASS,PASS,33.64%,-0.0251
BELFB,Consider,8.02%,$82.32,Unknown,FAIL,PASS,PASS,41.11%,-0.0067
CSR,Consider,9.54%,$62.36,Unknown,FAIL,PASS,PASS,28.84%,-0.0092
BCYC,Consider,nan%,$12.55,Unknown,FAIL,PASS,PASS,66.19%,-0.0279
BXC,Consider,9.48%,$101.82,Unknown,FAIL,PASS,PASS,43.09%,-0.0135
UAN,Consider,8.27%,$77.40,Unknown,FAIL,PASS,PASS,32.10%,-0.0093
BRSP,Consider,18.01%,$5.97,Unknown,FAIL,PASS,PASS,32.63%,-0.0230
GLDD,Consider,13.41%,$11.00,Unknown,FAIL,PASS,PASS,33.00%,-0.0162
GOOD,Consider,9.41%,$16.21,Unknown,FAIL,PASS,PASS,20.21%,-0.0041
